AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
Under 18,Male,Tier 1,Student,Rarely,Beginner,Outdoor,Stress relief,,1,Decathlon,Rarely,Performance,Price,3-6 months,Offline store,Shuttlecocks,Grips,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,0-500,2000-5000,Borrow,Likely,1,2,3,2
Under 18,Male,Tier 1,Student,3-5/week,Beginner,Society/club,Socializing,Competition,1,Decathlon,Rarely,Performance,,1-3 months,Brand store,Strings,Shuttlecocks,Casual player,Very important,Maybe,No,Maybe,Yes,500-1500,5000-10000,Buy immediately,Neutral,0,5,6,5
Under 18,Male,Tier 3,Student,Rarely,Beginner,Society/club,Fitness,Socializing,1,Others,Never,Brand,Performance,>6 months,Brand store,Grips,Apparel,Casual player,Very important,Maybe,No,Maybe,Maybe,500-1500,<2000,Skip,Likely,1,2,3,5
25-34,Male,Tier 2,Working Professional,Daily,Intermediate,Indoor courts,Fitness,,2,Li-Ning,2-3 months,Performance,Brand,<1 month,Offline store,Strings,,Fitness-focused,Not important,No,No,Maybe,No,500-1500,2000-5000,Skip,Neutral,0,7,9,4
18-24,Male,Tier 3,Student,1-2/week,Beginner,Indoor courts,Stress relief,Fitness,2,Others,2-3 months,Brand,Performance,1-3 months,Online,Strings,Grips,Casual player,Somewhat important,Yes,No,Yes,No,3000+,5000-10000,Borrow,Neutral,0,4,5,8
25-34,Male,Tier 1,Working Professional,3-5/week,Intermediate,Indoor courts,Competition,,2,Li-Ning,Monthly,Brand,Performance,>6 months,Online,Shoes,Grips,Casual player,Not important,No,No,Yes,Yes,500-1500,5000-10000,Buy immediately,Neutral,0,6,8,4
45+,Male,Tier 2,Others,1-2/week,Beginner,Outdoor,Stress relief,Competition,1,Decathlon,2-3 months,Brand,Performance,1-3 months,Online,Strings,,Casual player,Somewhat important,Maybe,No,Yes,No,0-500,<2000,Borrow,Neutral,0,4,5,2
18-24,Male,Tier 1,Working Professional,3-5/week,Beginner,Indoor courts,Fitness,,1,Decathlon,Never,Performance,,<1 month,Online,Grips,Strings,Casual player,Not important,No,Yes,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,5,6,6
18-24,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Socializing,,1,Others,Never,Price,,1-3 months,Offline store,Strings,Shoes,Fitness-focused,Somewhat important,No,No,Maybe,Maybe,0-500,<2000,Skip,Very likely,1,3,4,2
35-44,Male,Tier 2,Working Professional,Occasionally,Intermediate,Society/club,Socializing,,2,Yonex,2-3 months,Brand,Price,<1 month,Offline store,Shuttlecocks,,Casual player,Very important,Yes,No,Yes,Yes,1500-3000,10000+,Skip,Very likely,1,4,6,7
18-24,Female,Tier 1,Student,Occasionally,Advanced,Indoor courts,Fitness,Stress relief,2,Li-Ning,2-3 months,Brand,Performance,3-6 months,Online,Strings,Shuttlecocks,Competitive player,Somewhat important,Maybe,Yes,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,5,8,8
Under 18,Female,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Stress relief,Fitness,1,Li-Ning,Rarely,Price,Performance,3-6 months,Offline store,Apparel,,Fitness-focused,Very important,Yes,Yes,Yes,Yes,1500-3000,10000+,Borrow,Neutral,0,5,7,7
18-24,Female,Tier 1,Working Professional,Rarely,Beginner,Indoor courts,Fitness,,2,Others,2-3 months,Brand,Price,3-6 months,Online,Apparel,Shoes,Competitive player,Not important,Yes,Yes,No,No,500-1500,5000-10000,Buy immediately,Neutral,0,2,3,4
18-24,Female,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Competition,Stress relief,1,Others,Rarely,Recommendation,,>6 months,Brand store,Shoes,,Casual player,Very important,Maybe,No,Yes,Yes,0-500,<2000,Skip,Very likely,1,3,4,3
45+,Male,Tier 2,Others,1-2/week,Intermediate,Society/club,Socializing,,2,Yonex,Rarely,Price,,1-3 months,Online,Apparel,Strings,Casual player,Somewhat important,Maybe,No,No,Maybe,1500-3000,5000-10000,Buy immediately,Likely,1,5,7,6
35-44,Female,Tier 2,Working Professional,Occasionally,Intermediate,Indoor courts,Socializing,Fitness,2,Li-Ning,Rarely,Recommendation,,1-3 months,Online,Grips,Shoes,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,4,6,6
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Society/club,Fitness,Competition,2,Yonex,Rarely,Recommendation,Performance,1-3 months,Online,Shuttlecocks,Strings,Fitness-focused,Very important,Maybe,Yes,No,Yes,500-1500,2000-5000,Buy branded,Likely,1,5,7,5
35-44,Male,Tier 1,Business Owner,1-2/week,Beginner,Indoor courts,Socializing,,2,Yonex,Rarely,Brand,Performance,<1 month,Offline store,Shoes,,Casual player,Somewhat important,Yes,Yes,Yes,Yes,500-1500,<2000,Buy immediately,Likely,1,4,5,4
35-44,Male,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Socializing,,1,Others,Never,Price,Brand,1-3 months,Online,Shoes,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Maybe,Maybe,1500-3000,5000-10000,Buy branded,Likely,1,5,7,6
18-24,Male,Tier 2,Working Professional,1-2/week,Intermediate,Society/club,Fitness,,1,Li-Ning,Rarely,Price,Performance,>6 months,Brand store,Shuttlecocks,Strings,Fitness-focused,Somewhat important,No,Yes,Maybe,Yes,1500-3000,5000-10000,Borrow,Unlikely,0,5,7,6
35-44,Female,Tier 1,Working Professional,Daily,Competitive,Indoor courts,Fitness,,3+,Yonex,2-3 months,Price,Brand,<1 month,Online,Grips,Shuttlecocks,Competitive player,Very important,Yes,Yes,Yes,Yes,1500-3000,<2000,Buy immediately,Very likely,1,9,13,7
25-34,Male,Tier 3,Working Professional,1-2/week,Intermediate,Indoor courts,Socializing,,1,Decathlon,2-3 months,Brand,Recommendation,1-3 months,Offline store,Apparel,,Fitness-focused,Not important,No,Yes,Yes,Maybe,0-500,2000-5000,Buy immediately,Neutral,0,5,7,2
35-44,Male,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Competition,Fitness,3+,Decathlon,Monthly,Performance,,1-3 months,Online,Strings,Shuttlecocks,Casual player,Not important,Maybe,No,No,Yes,3000+,2000-5000,Skip,Unlikely,0,3,4,8
35-44,Female,Tier 1,Working Professional,Rarely,Intermediate,Indoor courts,Stress relief,,1,Yonex,Monthly,Performance,Brand,1-3 months,Brand store,Shuttlecocks,,Fitness-focused,Very important,No,No,Yes,Yes,500-1500,10000+,Buy immediately,Likely,1,3,5,5
18-24,Male,Tier 3,Student,Rarely,Intermediate,Outdoor,Socializing,Fitness,1,Yonex,Never,Price,Performance,3-6 months,Online,Grips,Shuttlecocks,Casual player,Very important,No,No,Yes,No,3000+,2000-5000,Skip,Very likely,1,3,5,9
Under 18,Male,Tier 2,Student,1-2/week,Advanced,Indoor courts,Fitness,,2,Yonex,Monthly,Price,Performance,1-3 months,Online,Grips,Strings,Fitness-focused,Somewhat important,Yes,Yes,Yes,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,6,9,4
18-24,Female,Tier 1,Student,1-2/week,Beginner,Outdoor,Fitness,Socializing,1,Yonex,Rarely,Performance,Price,<1 month,Offline store,Strings,Shuttlecocks,Fitness-focused,Not important,Maybe,Yes,Maybe,Yes,500-1500,5000-10000,Borrow,Very likely,1,4,5,4
18-24,Male,Tier 3,Student,3-5/week,Beginner,Outdoor,Competition,Fitness,1,Yonex,Rarely,Price,Performance,3-6 months,Brand store,Shuttlecocks,Grips,Casual player,Not important,No,No,Yes,Maybe,0-500,2000-5000,Borrow,Unlikely,0,5,6,2
35-44,Male,Tier 2,Working Professional,Occasionally,Advanced,Outdoor,Fitness,Stress relief,3+,Yonex,Monthly,Price,Performance,3-6 months,Online,Shuttlecocks,Grips,Casual player,Very important,Yes,No,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,5,8,7
35-44,Male,Tier 3,Working Professional,Daily,Competitive,Society/club,Fitness,,1,Decathlon,Monthly,Price,Brand,<1 month,Online,Apparel,Shuttlecocks,Competitive player,Very important,No,Yes,Yes,Yes,500-1500,5000-10000,Buy branded,Very likely,1,9,13,5
Under 18,Male,Tier 2,Others,3-5/week,Intermediate,Outdoor,Stress relief,,2,Yonex,Monthly,Brand,Recommendation,1-3 months,Offline store,Apparel,,Fitness-focused,Somewhat important,Yes,Yes,Yes,Yes,1500-3000,10000+,Buy immediately,Likely,1,6,8,6
25-34,Female,Tier 2,Working Professional,Occasionally,Beginner,Indoor courts,Competition,,1,Decathlon,2-3 months,Performance,Price,1-3 months,Offline store,Shuttlecocks,,Competitive player,Not important,Yes,No,Yes,Maybe,0-500,<2000,Skip,Likely,1,3,4,2
18-24,Male,Tier 3,Student,1-2/week,Beginner,Indoor courts,Fitness,,1,Decathlon,2-3 months,Brand,,1-3 months,Offline store,Apparel,Grips,Casual player,Somewhat important,No,Yes,Yes,Maybe,500-1500,<2000,Skip,Very likely,1,4,5,4
18-24,Male,Tier 1,Others,Daily,Intermediate,Indoor courts,Fitness,Socializing,1,Yonex,Monthly,Recommendation,,1-3 months,Offline store,Shuttlecocks,Strings,Casual player,Very important,Yes,Yes,Yes,No,0-500,2000-5000,Buy immediately,Very likely,1,7,9,3
Under 18,Male,Tier 2,Others,Occasionally,Intermediate,Outdoor,Stress relief,Fitness,1,Li-Ning,Monthly,Price,Performance,>6 months,Offline store,Strings,Grips,Fitness-focused,Not important,No,Yes,Yes,Yes,500-1500,<2000,Buy branded,Likely,1,4,6,4
18-24,Male,Tier 2,Student,1-2/week,Beginner,Indoor courts,Stress relief,Socializing,1,Decathlon,Rarely,Price,,1-3 months,Offline store,Grips,Shuttlecocks,Casual player,Somewhat important,Maybe,Yes,Maybe,Maybe,500-1500,5000-10000,Buy immediately,Neutral,0,4,5,4
45+,Female,Tier 1,Business Owner,Daily,Advanced,Outdoor,Competition,,3+,Decathlon,Monthly,Brand,,3-6 months,Online,Grips,Apparel,Fitness-focused,Very important,Yes,Yes,Yes,Yes,3000+,5000-10000,Buy branded,Neutral,0,8,11,9
18-24,Male,Tier 1,Student,Daily,Advanced,Indoor courts,Competition,Stress relief,3+,Decathlon,Monthly,Price,Performance,1-3 months,Brand store,Grips,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,2000-5000,Skip,Very likely,1,8,11,6
25-34,Male,Tier 1,Working Professional,3-5/week,Advanced,Outdoor,Fitness,Competition,3+,Yonex,2-3 months,Recommendation,,1-3 months,Online,Grips,Shuttlecocks,Casual player,Very important,Maybe,Yes,Yes,Yes,3000+,5000-10000,Buy immediately,Likely,1,7,10,9
25-34,Male,Tier 2,Working Professional,3-5/week,Beginner,Outdoor,Stress relief,,1,Decathlon,2-3 months,Performance,Price,>6 months,Online,Shuttlecocks,Strings,Competitive player,Somewhat important,Maybe,Yes,Yes,Maybe,500-1500,5000-10000,Skip,Neutral,0,5,6,4
18-24,Female,Tier 2,Student,Occasionally,Beginner,Outdoor,Socializing,Fitness,1,Li-Ning,Never,Brand,,>6 months,Online,Strings,,Casual player,Somewhat important,Yes,No,Yes,Maybe,0-500,2000-5000,Skip,Neutral,0,3,4,2
45+,Female,Tier 2,Others,1-2/week,Advanced,Society/club,Stress relief,,3+,Yonex,Monthly,Performance,Price,1-3 months,Brand store,Shoes,Shuttlecocks,Competitive player,Not important,No,No,Yes,Yes,1500-3000,<2000,Buy immediately,Very likely,1,6,9,6
45+,Male,Tier 1,Business Owner,Occasionally,Beginner,Outdoor,Competition,Stress relief,2,Yonex,Never,Performance,Price,3-6 months,Online,Strings,Apparel,Casual player,Somewhat important,No,No,No,Maybe,0-500,10000+,Skip,Neutral,0,3,4,2
18-24,Male,Tier 2,Others,3-5/week,Advanced,Outdoor,Stress relief,,2,Li-Ning,Monthly,Brand,Price,3-6 months,Online,Grips,Shuttlecocks,Competitive player,Very important,No,Yes,Yes,Maybe,1500-3000,2000-5000,Buy immediately,Very likely,1,7,10,7
18-24,Male,Tier 3,Working Professional,1-2/week,Beginner,Society/club,Fitness,Stress relief,1,Li-Ning,Monthly,Price,,1-3 months,Online,Apparel,Shuttlecocks,Casual player,Very important,Yes,No,Maybe,Maybe,500-1500,2000-5000,Borrow,Very likely,1,4,5,5
18-24,Female,Tier 1,Student,Occasionally,Intermediate,Indoor courts,Fitness,Competition,1,Li-Ning,2-3 months,Performance,,3-6 months,Online,Shuttlecocks,Strings,Fitness-focused,Very important,Yes,Yes,Maybe,Yes,500-1500,<2000,Buy immediately,Neutral,0,4,6,5
18-24,Male,Tier 2,Working Professional,Occasionally,Beginner,Society/club,Socializing,Stress relief,1,Decathlon,Rarely,Recommendation,Brand,1-3 months,Offline store,Shoes,Strings,Casual player,Not important,No,Yes,Yes,Yes,3000+,2000-5000,Skip,Likely,1,3,4,8
Under 18,Female,Tier 3,Others,1-2/week,Intermediate,Society/club,Stress relief,Fitness,2,Decathlon,2-3 months,Recommendation,Price,3-6 months,Offline store,Grips,Apparel,Casual player,Not important,No,Yes,No,Yes,0-500,<2000,Skip,Neutral,0,5,7,2
25-34,Male,Tier 3,Business Owner,Rarely,Beginner,Outdoor,Fitness,Stress relief,1,Others,Rarely,Recommendation,Performance,>6 months,Offline store,Shuttlecocks,Grips,Fitness-focused,Very important,Maybe,No,Maybe,Maybe,500-1500,2000-5000,Borrow,Neutral,0,2,3,5
25-34,Female,Tier 2,Business Owner,3-5/week,Beginner,Indoor courts,Stress relief,Fitness,1,Yonex,Rarely,Performance,Brand,3-6 months,Brand store,Shuttlecocks,,Fitness-focused,Somewhat important,No,No,Yes,Maybe,1500-3000,2000-5000,Skip,Very likely,1,5,6,6
Under 18,Male,Tier 3,Others,1-2/week,Intermediate,Society/club,Fitness,Socializing,2,Li-Ning,Rarely,Price,Recommendation,3-6 months,Offline store,Shuttlecocks,Grips,Fitness-focused,Not important,Maybe,Yes,Maybe,Yes,500-1500,2000-5000,Borrow,Unlikely,0,5,7,4
18-24,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Competition,,1,Others,2-3 months,Price,,>6 months,Offline store,Shuttlecocks,Shoes,Casual player,Not important,No,No,Maybe,Maybe,500-1500,2000-5000,Borrow,Likely,1,3,4,4
45+,Male,Tier 3,Business Owner,Daily,Competitive,Society/club,Socializing,Fitness,3+,Yonex,Monthly,Recommendation,Brand,<1 month,Offline store,Grips,Shuttlecocks,Aspiring professional,Very important,Maybe,No,Yes,Yes,1500-3000,5000-10000,Buy immediately,Very likely,1,9,13,7
18-24,Male,Tier 1,Working Professional,Daily,Competitive,Indoor courts,Competition,,3+,Li-Ning,Monthly,Recommendation,Brand,3-6 months,Brand store,Apparel,Shoes,Aspiring professional,Not important,Maybe,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,9,13,8
Under 18,Female,Tier 1,Others,3-5/week,Beginner,Society/club,Socializing,Fitness,1,Yonex,Rarely,Performance,Recommendation,>6 months,Offline store,Strings,,Casual player,Somewhat important,No,No,Maybe,Maybe,3000+,10000+,Buy immediately,Unlikely,0,5,6,8
18-24,Female,Tier 1,Student,1-2/week,Competitive,Indoor courts,Fitness,Competition,2,Li-Ning,Monthly,Brand,,3-6 months,Online,Shuttlecocks,Apparel,Competitive player,Not important,No,No,Yes,Yes,500-1500,5000-10000,Borrow,Very likely,1,7,11,4
45+,Female,Tier 3,Business Owner,3-5/week,Advanced,Outdoor,Fitness,Stress relief,2,Li-Ning,2-3 months,Performance,Recommendation,1-3 months,Online,Shoes,Shuttlecocks,Aspiring professional,Very important,No,No,Yes,Maybe,3000+,5000-10000,Borrow,Very likely,1,7,10,9
18-24,Male,Tier 2,Working Professional,3-5/week,Beginner,Outdoor,Socializing,Competition,1,Others,Rarely,Brand,Price,3-6 months,Offline store,Apparel,,Fitness-focused,Not important,No,No,Yes,No,500-1500,10000+,Buy branded,Neutral,0,5,6,4
25-34,Male,Tier 1,Working Professional,1-2/week,Beginner,Indoor courts,Socializing,Competition,1,Decathlon,Never,Performance,,<1 month,Offline store,Grips,Strings,Fitness-focused,Very important,Yes,Yes,Yes,Maybe,500-1500,<2000,Buy immediately,Likely,1,4,5,5
35-44,Female,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,,2,Decathlon,Rarely,Price,,<1 month,Brand store,Shuttlecocks,Strings,Casual player,Somewhat important,Yes,No,Yes,Yes,3000+,5000-10000,Buy immediately,Likely,1,5,7,8
18-24,Male,Tier 3,Student,3-5/week,Beginner,Society/club,Stress relief,,1,Yonex,2-3 months,Recommendation,Price,>6 months,Online,Shoes,,Fitness-focused,Not important,No,No,Yes,Maybe,500-1500,2000-5000,Borrow,Neutral,0,5,6,4
25-34,Male,Tier 3,Working Professional,1-2/week,Beginner,Society/club,Stress relief,Fitness,2,Decathlon,Rarely,Performance,,3-6 months,Offline store,Apparel,Shoes,Fitness-focused,Somewhat important,Maybe,Yes,Maybe,Yes,500-1500,<2000,Skip,Very likely,1,4,5,4
18-24,Male,Tier 2,Student,1-2/week,Intermediate,Indoor courts,Stress relief,Fitness,1,Yonex,Rarely,Price,,<1 month,Online,Shuttlecocks,,Fitness-focused,Very important,Yes,Yes,Maybe,Yes,3000+,5000-10000,Buy immediately,Very likely,1,5,7,9
25-34,Male,Tier 2,Working Professional,Rarely,Beginner,Society/club,Stress relief,Socializing,1,Decathlon,Rarely,Performance,,1-3 months,Brand store,Apparel,Shuttlecocks,Fitness-focused,Somewhat important,No,No,Maybe,Maybe,500-1500,<2000,Skip,Neutral,0,2,3,4
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Outdoor,Socializing,Fitness,2,Decathlon,Rarely,Recommendation,,>6 months,Offline store,Grips,Shoes,Casual player,Somewhat important,Maybe,Yes,Maybe,Yes,0-500,2000-5000,Buy immediately,Likely,1,3,4,2
25-34,Male,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Stress relief,Competition,1,Others,Rarely,Recommendation,,>6 months,Online,Grips,Shuttlecocks,Competitive player,Somewhat important,Yes,No,No,Maybe,500-1500,<2000,Buy immediately,Unlikely,0,3,4,4
Under 18,Male,Tier 3,Student,1-2/week,Beginner,Outdoor,Competition,,3+,Yonex,Rarely,Performance,Price,<1 month,Online,Grips,,Fitness-focused,Somewhat important,Maybe,No,Yes,Maybe,1500-3000,5000-10000,Buy immediately,Likely,1,4,5,6
35-44,Prefer not to say,Tier 1,Working Professional,3-5/week,Beginner,Outdoor,Fitness,Socializing,1,Li-Ning,Monthly,Performance,Brand,1-3 months,Online,Grips,,Casual player,Not important,No,Yes,Maybe,No,500-1500,2000-5000,Borrow,Neutral,0,5,6,4
18-24,Male,Tier 2,Student,1-2/week,Beginner,Outdoor,Socializing,Fitness,2,Others,Never,Brand,,3-6 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Not important,No,Yes,Maybe,Yes,500-1500,<2000,Buy immediately,Likely,1,4,5,4
18-24,Male,Tier 1,Student,Occasionally,Beginner,Outdoor,Socializing,,2,Decathlon,Rarely,Recommendation,,>6 months,Offline store,Shuttlecocks,,Casual player,Very important,Yes,No,Maybe,No,0-500,2000-5000,Borrow,Likely,1,3,4,3
Under 18,Male,Tier 2,Student,1-2/week,Competitive,Outdoor,Fitness,Competition,2,Yonex,Monthly,Price,Brand,1-3 months,Brand store,Shuttlecocks,,Competitive player,Somewhat important,Yes,No,Yes,Yes,1500-3000,<2000,Buy immediately,Very likely,1,7,11,6
25-34,Female,Tier 2,Business Owner,Occasionally,Beginner,Indoor courts,Stress relief,Socializing,1,Yonex,Rarely,Price,Performance,3-6 months,Offline store,Shuttlecocks,,Casual player,Somewhat important,Yes,Yes,Yes,Maybe,1500-3000,<2000,Skip,Very likely,1,3,4,6
25-34,Male,Tier 2,Working Professional,Rarely,Beginner,Outdoor,Competition,Fitness,1,Li-Ning,Rarely,Brand,,3-6 months,Online,Shuttlecocks,Grips,Casual player,Somewhat important,Maybe,Yes,No,No,0-500,<2000,Borrow,Unlikely,0,2,3,2
Under 18,Male,Tier 1,Student,Daily,Advanced,Outdoor,Competition,Socializing,2,Yonex,Monthly,Brand,Recommendation,1-3 months,Offline store,Shuttlecocks,,Aspiring professional,Somewhat important,No,Yes,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,8,11,8
25-34,Male,Tier 2,Business Owner,Daily,Advanced,Society/club,Fitness,Stress relief,2,Yonex,2-3 months,Performance,Price,<1 month,Brand store,Shuttlecocks,Grips,Aspiring professional,Very important,No,Yes,Yes,Maybe,3000+,2000-5000,Skip,Very likely,1,8,11,9
18-24,Male,Tier 1,Student,3-5/week,Intermediate,Indoor courts,Fitness,,1,Li-Ning,Rarely,Performance,,<1 month,Brand store,Shuttlecocks,Shoes,Fitness-focused,Somewhat important,Yes,Yes,Maybe,Maybe,500-1500,2000-5000,Buy immediately,Neutral,0,6,8,4
25-34,Male,Tier 1,Others,1-2/week,Beginner,Indoor courts,Socializing,Fitness,1,Decathlon,Rarely,Performance,Price,1-3 months,Offline store,Apparel,,Casual player,Somewhat important,No,No,No,Maybe,500-1500,<2000,Borrow,Neutral,0,4,5,4
18-24,Female,Tier 1,Working Professional,3-5/week,Beginner,Indoor courts,Fitness,,1,Others,Never,Price,Recommendation,<1 month,Online,Strings,Shuttlecocks,Casual player,Somewhat important,Maybe,No,No,Yes,0-500,<2000,Skip,Neutral,0,5,6,2
25-34,Female,Tier 3,Working Professional,Occasionally,Competitive,Society/club,Socializing,Fitness,1,Yonex,Monthly,Performance,Price,3-6 months,Offline store,Grips,Strings,Competitive player,Somewhat important,Maybe,Yes,Maybe,Yes,1500-3000,<2000,Buy branded,Very likely,1,6,10,6
18-24,Male,Tier 2,Student,Daily,Intermediate,Society/club,Fitness,Stress relief,1,Yonex,Monthly,Brand,,>6 months,Offline store,Shuttlecocks,Apparel,Fitness-focused,Somewhat important,Maybe,No,Maybe,Yes,3000+,5000-10000,Buy branded,Very likely,1,7,9,8
45+,Male,Tier 2,Business Owner,1-2/week,Beginner,Society/club,Stress relief,,1,Decathlon,Rarely,Recommendation,Performance,<1 month,Offline store,Shuttlecocks,,Fitness-focused,Somewhat important,No,No,Yes,Maybe,0-500,<2000,Borrow,Very likely,1,4,5,2
Under 18,Female,Tier 2,Student,3-5/week,Competitive,Society/club,Fitness,Competition,3+,Yonex,Monthly,Performance,Price,<1 month,Online,Shuttlecocks,Shoes,Aspiring professional,Very important,Yes,No,Yes,Maybe,1500-3000,2000-5000,Buy branded,Very likely,1,8,12,7
18-24,Male,Tier 2,Student,Rarely,Intermediate,Indoor courts,Stress relief,Competition,1,Decathlon,Rarely,Brand,Recommendation,3-6 months,Online,Strings,,Fitness-focused,Somewhat important,Yes,No,Yes,Maybe,500-1500,<2000,Buy branded,Likely,1,3,5,4
